day,mean_ote,min_ote,max_ote,p5_ote,p95_ote
111,2357.316028705561,-84478.20922284362,536588.8988113044,-50438.83667069135,80990.23644523756
112,2384.4273741629454,-85040.24131885562,507621.0746043108,-50622.196661562855,81424.40258757812
113,2408.6522215328782,-84620.37232835952,483995.6899121787,-50757.41080841436,81952.37678560574
114,2426.971333462243,-84115.2653397888,480867.36944684834,-50944.376624882825,82450.54199746829
115,2446.80530689437,-84757.1373691432,479221.0646725192,-51092.87475562541,82772.51515912235
116,2458.3493347284393,-85039.00668869211,489401.29917515913,-51254.360997048425,83247.05450847441
117,2486.4109793566004,-85732.1474527882,485469.55285376613,-51432.43611216016,83633.57039061941
118,2507.374689983324,-85541.5598256662,511602.8651040931,-51588.778453903346,84066.17325571603
119,2528.656996100465,-86059.37086510402,526584.0005132661,-51758.554346187426,84523.9753257552
120,2545.8755711644008,-86444.2514650383,540098.2819897616,-51909.65517259124,84924.99504634297
121,2568.516670067683,-86639.63718575175,530916.2373716864,-52089.66138635281,85382.41780469031
122,2582.567684721441,-86655.66692290099,545079.4606293731,-52236.00882961309,85746.37815733727
123,2615.611000259137,-87308.86051158022,547032.0205602088,-52392.10501691678,86126.72441068124
124,2634.8451061519545,-87252.71687448431,548167.9325336295,-52523.91343126277,86577.20133866304
125,2653.9646382835563,-86816.7816884098,537799.5194523194,-52685.478535776616,87019.10090838368
126,2669.996463892903,-86976.83674196001,538227.9696947054,-52843.73970157304,87439.68019679259
127,2691.746260358217,-87428.55796863948,546326.62298241,-52998.48430540986,87818.54132542122
128,2709.9329794831356,-87396.03669663388,553911.8285998962,-53161.53033580222,88305.87425770145
129,2732.9933070128786,-87840.09413617135,534176.1690229233,-53315.01524712761,88713.15223804377
130,2748.5773816523974,-87777.5697218705,527395.4463896194,-53492.58656856278,89086.17224587708
131,2771.7789591420483,-87626.54093773449,547540.7590962268,-53641.79771111345,89494.0931022179
132,2791.245598654005,-87837.41881634753,548065.41738131,-53789.69227613642,89900.11574612503
133,2811.547722234418,-88270.74893567475,562529.2527093267,-53929.8619270712,90297.98265885495
134,2825.8763407867723,-88399.90769409254,572127.3739239029,-54051.749109584336,90616.75021736273
135,2852.4037440919383,-89147.11081413856,593375.6258687865,-54200.17775201822,91046.48673680081
136,2868.7021291180163,-88480.83947840854,571032.2722975129,-54349.95335415018,91441.54939055945
137,2884.8012716876988,-88901.22423323651,576316.6511666737,-54506.65207266739,91884.1518787271
138,2909.8667133286694,-89172.38802328911,648296.0904862715,-54655.76863798558,92330.9102489531
139,2923.5955654228705,-89402.83332683814,613664.4109084832,-54775.49573877006,92674.78174240346
140,2940.5068455578194,-89354.04740166919,638005.5689861015,-54901.87736055993,93017.43539827378
141,2956.579009021423,-89278.53833389955,629787.6104397784,-55028.225926498664,93509.0986138843
142,2973.1711462875164,-89488.25623806274,669700.6557949815,-55162.84096702595,93893.10065222997
143,2996.8644385027696,-89303.65289072908,669535.4850838202,-55305.17959242849,94294.01283435938
144,3016.604431170903,-89321.19091934327,659455.2760478667,-55431.88090085688,94710.61902040584
145,3038.4416179215045,-89232.72341066676,713911.744635653,-55554.03270782691,95027.52003446204
