day,mean_ote,min_ote,max_ote,p5_ote,p95_ote
82,1678.1657581108373,-86644.70454974346,422508.9866923798,-45008.74846113411,67215.71039541725
83,1693.834853521883,-85994.13764005133,460219.10993481753,-45212.352410510364,67718.72549626861
84,1715.6929073527676,-86945.41675135476,485864.88281147776,-45414.15305346495,68143.11680043758
85,1736.7980474715544,-86479.87095935982,471327.1092206938,-45614.56242262243,68610.84324970383
86,1753.0797067637045,-87063.99018803562,495572.54244780645,-45816.99953691726,69057.42323820757
87,1773.2734817310543,-87195.11782379885,477367.86507088516,-46030.064292987765,69535.35637599717
88,1789.7196845858198,-87646.40320723067,486209.790451835,-46273.1309848109,69963.14272745002
89,1814.6073055989543,-86230.73971594653,520296.5321369709,-46460.987940349005,70388.08624236117
90,1835.6763016726109,-87040.30881754133,531087.2047531988,-46649.192118137675,70870.2582197264
91,1856.1834685780461,-86924.49948360666,578086.5783509142,-46822.213999849475,71401.2366154462
92,1872.8485205292104,-86248.78383053813,579290.7678471785,-47012.60119380396,71844.0391954169
93,1896.3450726792698,-86247.221987534,503819.67127091164,-47209.73973317761,72344.74118014409
94,1918.800679987258,-86586.77831143147,501061.5919878211,-47449.95568670666,72766.42741192806
95,1939.880127732633,-87012.56060283975,483618.2353364376,-47619.59230734097,73328.23284530254
96,1962.3380795764997,-86772.73554682294,471335.8189282418,-47801.61093623994,73739.87492677136
97,1981.5976839712969,-86780.05820382935,469377.54682122933,-48004.565636445004,74190.0728125907
98,1997.6961978767,-86330.35961744872,476788.5268771781,-48211.01740940697,74597.90474046273
99,2020.723433462371,-85992.57494327791,485920.46208738576,-48387.52522540607,75128.77222462317
100,2043.0278746251984,-85868.1221377673,479338.15321652626,-48569.021886554096,75650.81289701776
101,2063.302232258167,-86416.36852199056,465445.92870162375,-48762.944167735244,76124.17268676177
102,2088.584425262011,-86166.62210066667,468954.11755700863,-48939.99107434021,76700.03856634251
103,2114.7642548354843,-85763.41298168583,505781.46209407545,-49099.693445730016,77135.86725743854
104,2130.424151225107,-84829.73882736439,477191.2903274956,-49245.293750621466,77538.54554671372
105,2152.7801045471915,-85566.04382498299,455598.98891464743,-49415.22268543895,77944.13504615458
106,2171.6691655516315,-85591.77004817808,442534.6939537002,-49600.29998437517,78366.75561953126
107,2190.7662428220706,-86154.11972278052,464567.3893304438,-49793.23205007431,78804.93390609843
108,2211.1363271932187,-85940.72036269,494130.0017101355,-49964.641447731934,79285.09611074734
109,2237.1079114192316,-86687.11220649896,489923.17265104316,-50151.94003843339,79778.89244911421
110,2253.251610286442,-86840.84600521601,483586.5880761419,-50331.3305851403,80235.61274631659
111,2273.9946254017636,-87025.23247502687,463451.64241915994,-50495.51556100232,80727.8466738736
112,2295.8447598739453,-87445.69553574931,472331.98631582333,-50671.077171088014,81066.4059670673
113,2316.0825097709526,-87684.97078046974,475145.9352949638,-50828.32653735,81434.09951181835
114,2334.551586371027,-88069.95578952532,489868.29765435803,-50985.99570036604,81961.53049078575
115,2354.1795919236774,-88225.6951476632,485287.2123259499,-51180.02220373003,82303.57438028818
116,2374.4708035121153,-88905.36192525184,476451.25177152385,-51349.987427066815,82819.31744897648
117,2395.6823796825206,-89883.80084971368,482670.4803345474,-51522.01333377038,83316.31210244326
118,2412.450199460779,-89954.2842050214,498423.0111038141,-51701.784189587575,83720.31740095686
119,2433.5234477152067,-89818.65279845682,494916.5158097077,-51862.76742898159,84149.40556865185
120,2447.516182976534,-90309.13024841655,499286.25638257345,-52005.81742437484,84481.8435896291
121,2474.3344960407767,-90103.04946021925,492444.5771080026,-52154.88041056054,84902.91235772915
122,2498.3690161107115,-90128.1055887352,478998.9160960256,-52317.588479274884,85339.27136084269
123,2519.331376136663,-90535.6552801723,509231.3479116974,-52498.87642064172,85736.8715984866
124,2535.0961558807503,-90789.0938291357,505304.16185676906,-52636.163396731536,86224.33478913637
125,2555.2998881129906,-90911.55916087197,552649.9553150958,-52788.82199993238,86657.18383998566
126,2578.9933595571742,-91244.05870981074,528324.9824531443,-52962.27519675478,86928.444122748
127,2595.7463461128677,-91270.79954581369,525066.9620859195,-53100.234622963275,87417.56635690232
128,2618.059823178872,-90721.1086566211,550124.349674472,-53261.358182168886,87765.6652013335
129,2635.1599078728923,-90965.43296180337,530073.1844244433,-53429.819657764856,88187.80992341017
130,2653.10038845479,-91120.33505373435,549147.654111423,-53587.54481252261,88624.50505741667
131,2674.3674762710993,-91137.63689511846,582445.3946744627,-53749.12381419708,89149.23592679495
132,2700.5060854019903,-91289.56738501556,580783.7257707911,-53894.43099598448,89489.42511979862
133,2717.577443292432,-91008.28758980903,600676.4572619157,-54044.5634705331,89952.42619237039
134,2737.659342079431,-90577.99504656842,607472.7332447631,-54161.900396109355,90283.52706240349
135,2759.569959743024,-90134.1330698289,594471.1950963968,-54294.071787139306,90644.22154934728
136,2780.5687228585243,-90620.8477414148,590963.9237385794,-54440.36734797908,90871.29708138281
137,2802.9067124084618,-90492.85413204662,680161.8052323222,-54596.31338863018,91376.70121473854
138,2822.340746522525,-90125.39131374555,661981.0748374413,-54702.46297027865,91743.58748596761
139,2844.21497268193,-90684.38017128926,643964.1905490485,-54845.08289699721,92092.61916966276
140,2867.2284958580963,-91309.49746393386,650790.2455338574,-54988.96602491177,92531.85239386962
141,2886.753949883642,-91155.06671376253,658559.2864782964,-55115.01505426409,93047.85871905563
142,2904.601650110015,-91200.99553430811,712912.3850747064,-55264.28858640077,93424.6056590744
143,2921.2545739932975,-91303.12761461896,721558.727548035,-55392.26409958403,93934.4186149993
144,2946.300323571175,-91383.14521480126,704863.3655826505,-55522.335906221844,94323.34265065471
145,2969.5678461326615,-91284.95820195993,688325.1085551737,-55647.09931630351,94751.30180245706
146,2993.5135676725627,-91364.06837936303,722637.9131072721,-55757.74968364723,95214.56135856766
147,3010.5166790788426,-91540.04441914771,728797.5240633514,-55884.45824197703,95556.93666786965
148,3024.6739338560055,-92100.6805263798,728341.8268145765,-56016.76381111188,95888.29182075139
149,3040.0997183905265,-91770.81077850318,742448.0502409575,-56135.04723907119,96303.75664573001
150,3063.249461087667,-91544.52153785054,777918.1101448636,-56270.22259005529,96704.95858193819
151,3083.82545858871,-90976.61577449874,731398.4053888193,-56407.05620009024,97067.11571082284
152,3104.5238841746177,-90737.07553607425,720630.930991689,-56527.31257529396,97402.06462352125
153,3116.367059052531,-90501.76629745151,743408.5209536619,-56650.867918449796,97759.4312874865
154,3133.728787929623,-90325.10781491018,763496.1373553348,-56789.37585917794,98100.48530002924
155,3154.7665667133874,-90483.26476070675,773778.240884859,-56935.8154818127,98516.15137851697
156,3178.8345511316193,-90025.00716730853,798779.0722194213,-57054.11015025537,98938.77524242552
157,3203.3486873832253,-90436.37729975174,840013.528819647,-57198.24526980444,99322.66372535136
158,3224.9221171832833,-90734.85878197309,803448.4353435541,-57327.465637012196,99584.14552953075
159,3240.1925199563034,-90799.21623332586,778971.2890704675,-57450.629998421406,100042.77271092393
160,3264.2998162616805,-90342.35863766924,762625.0803495536,-57550.24298879355,100445.60364432343
161,3278.911450319627,-90318.9080304553,719791.836973269,-57676.14810105572,100990.54544405863
162,3307.070857372236,-90699.03080133119,729941.6782284029,-57799.13651948717,101407.56791978267
163,3325.858980656609,-90967.02539615791,746060.2821618126,-57926.53298237757,101731.88644684879
164,3345.8740547397933,-91114.30009548765,753233.0649003898,-58049.81567663922,102177.94858789026
165,3361.1531655246845,-90774.50564845177,742832.928223927,-58160.69674967028,102526.29502052016
166,3383.1471518668413,-91150.0952990106,745831.4201238694,-58312.71680943098,102993.48687675987
167,3402.356378786433,-91053.71142734507,723916.9804358021,-58415.739728792985,103353.98800429059
168,3426.5313272420613,-90899.2475280691,788636.6711904606,-58528.86892389635,103513.8552358597
169,3444.794641212433,-91309.82142540421,759230.104715814,-58642.34320941799,104093.69271352989
170,3457.121404106656,-91573.82194836854,726556.0086763633,-58775.33102467576,104353.9124189132
171,3481.3291228708963,-91630.88566101006,739826.2584706577,-58906.35819829726,104734.59026403539
172,3507.4644854150856,-91356.47982309059,760160.0045233094,-59028.79573964319,105214.82085637585
173,3528.8027710917277,-91884.95067814589,745517.1196737817,-59139.42710735847,105633.24114364745
174,3553.6822368486046,-92031.91879501729,801208.417233732,-59248.700773811244,106014.75888741597
175,3579.3257338796407,-91814.64403524308,839932.5037420093,-59367.01313437388,106429.81113000668
176,3601.3912824085296,-91407.03632893894,868704.6583146591,-59482.24169862335,106651.39451576881
177,3619.947180124401,-90890.1587916803,873222.5137515281,-59574.63334399034,107028.12274778711
178,3644.910081390927,-91434.89746117222,939187.0724375956,-59677.5813484452,107544.26120030983
179,3662.2677102211796,-91483.68105613715,875045.0740827959,-59803.43208883215,107766.70716816149
180,3688.486507566508,-91854.25930742451,843166.3397800119,-59898.077677837086,108172.60322527343
181,3709.9847363155595,-91912.36507263868,900812.6450823552,-60036.4973251877,108602.50741027652
182,3732.7965473092386,-92198.70991807469,907327.8393786834,-60133.705263159245,108857.82485008056
183,3747.69667975672,-92384.11950158837,910715.1669172895,-60249.43771464206,109115.88638121457
184,3769.5343986430403,-92576.86011090275,1020309.6197258342,-60347.6197951818,109563.94801093529
185,3791.9073829718773,-92922.99008295903,1018233.0401551833,-60460.14106991932,109972.69249291506
186,3811.342301388063,-92972.86235596734,969684.8808491307,-60564.09300289739,110353.90238653719
187,3824.486540911088,-93141.51305669603,976546.378292996,-60663.53160055241,110715.15459561978
188,3852.3641744407537,-93089.49943404245,990735.5977230835,-60765.48385049323,111131.37185760324
189,3882.471146073417,-93062.6175518717,985934.6208051863,-60909.697514800275,111490.64858475873
190,3899.0799779670183,-93030.46080159902,981852.4024371393,-60984.15859300617,111913.96345505872
191,3925.895141027641,-92914.24557709292,1020379.0021799944,-61100.319130863616,112234.0717868472
192,3946.3296708160906,-93027.28925431159,1025371.0521527239,-61215.844439326815,112524.59080999612
193,3965.835709805477,-92832.73234678288,1074755.1491083396,-61327.22926054841,112997.12295510092
194,3987.485920060618,-92718.45291340664,1092880.0157248212,-61424.87784513647,113312.65389141347
195,4015.7255281281205,-93121.78751658023,1119414.1281710344,-61539.1205120096,113664.05289832891
196,4039.9365053816955,-93195.9270844876,1178387.462057452,-61626.05936598423,114148.0022310935
197,4057.645319000244,-93488.20111464438,1189982.5509148953,-61723.57313147215,114347.05469030049
